source,target
GE Healthcare Precision THUNIS800+ has a default password of (1) 1973 for the factory default System Utilities menu (2) TH8740 for installation using TH8740_122_Setup.exe (3) hrml for Setup and Activation using DSASetup and (4) an empty string for ShutterConfiguration which has unspecified impact and attack vectors.NOTE: since these passwords appear to be used to access functionality during installation this issue might not cross privilege boundaries and might not be a vulnerability. ,Credentials Management Errors
An issue was discovered on NETGEAR Orbi TriBand Business WiFi Addon Satellite (SRS60) AC3000 V2.5.1.106 Outdoor Satellite (RBS50Y) V2.5.1.106 and Pro TriBand Business WiFi Router (SRR60) AC3000 V2.5.1.106. The administrative SOAP interface allows an unauthenticated remote write of arbitrary WiFiConfiguration data such as authentication details (e.g. the Webadmin password) network settings DNS settings system administration interfaceConfiguration etc. ,Improper Authentication
Siemens SIMATIC WinCC 7.0 through SP3 and 7.2 allows remote attackers to read arbitrary WinCC station files via crafted packets. ,Exposure of Sensitive Information to an Unauthorized Actor
Certain Zyxel products have a locally accessible binary that allows a nonroot user to generate a password for an undocumented user account that can be used for a TELNET session as root. This affects NAS520 V5.21(AASZ.4)C0 V5.21(AASZ.0)C0 V5.11(AASZ.3)C0 and V5.11(AASZ.0)C0; NAS542 V5.11(ABAG.0)C0 V5.20(ABAG.1)C0 and V5.21(ABAG.3)C0; NSA325 v2_V4.81(AALS.0)C0 and V4.81(AAAJ.1)C0; NSA310 4.22(AFK.0)C0 and 4.22(AFK.1)C0; NAS326 V5.21(AAZF.8)C0 V5.11(AAZF.4)C0 V5.11(AAZF.2)C0 and V5.11(AAZF.3)C0; NSA310S V4.75(AALH.2)C0; NSA320S V4.75(AANV.2)C0 and V4.75(AANV.1)C0; NSA221 V4.41(AFM.1)C0; and NAS540 V5.21(AATB.5)C0 and V5.21(AATB.3)C0. ,Improper Privilege Management
An issue was discovered on Foscam Opticam i5 devices with System Firmware 1.5.2.11 and Application Firmware 2.21.1.128. The CGIProxy.fcgi?cmd=setTelnetSwitch feature is authorized for hidden factory credentials. ,Improper Authentication
Directory traversal vulnerability in NTWebServer in InduSoft Web Studio 7.1 before SP2 Patch 4 allows remote attackers to read administrative passwords in APP files and consequently execute arbitrary code via unspecified web requests. ,Exposure of Resource to Wrong Sphere
The Infineon RSA library 1.02.013 in Infineon Trusted Platform Module (TPM) firmware such as versions before 00000000000004224.34 before 000000000000062b6.43 and before 0000000000008521133.33 mishandles RSA key generation which makes it easier for attackers to defeat various cryptographic protection mechanisms via targeted attacks aka ROCA. Examples of affected technologies include BitLocker with TPM 1.2 YubiKey 4 (before 4.3.5) PGP key generation and the Cached User Data encryption feature in Chrome OS. ,Improper Authentication
On Samsung SmartThings Hub STHETH250 devices with firmware version 0.20.17 the videocore process incorrectly extracts fields from a usercontrolled JSON payload leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability. The memcpy call overflows the destination buffer which has a size of 512 bytes. An attacker can send an arbitrarily long url value in order to overwrite the savedPC with 0x42424242. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Panasonic FPWIN Pro version 7.3.0.0 and prior allows attackercreated project files to be loaded by an authenticated user causing heapbased buffer overflows which may lead to remote code execution. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by a buffer overflow by an unauthenticated attacker. This affects D3600 before 1.0.0.67 D6000 before 1.0.0.67 D7800 before 1.0.1.30 EX2700 before 1.0.1.28 R6100 before 1.0.1.20 R7500 before 1.0.0.118 R7500v2 before 1.0.3.24 R7800 before 1.0.2.40 R9000 before 1.0.2.52 WN2000RPTv3 before 1.0.1.20 WN3000RPv3 before 1.0.2.50 WN3100RPv2 before 1.0.0.56 WNDR3700v4 before 1.0.2.96 WNDR4300 before 1.0.2.98 WNDR4300v2 before 1.0.0.50 and WNDR4500v3 before 1.0.0.50. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An issue was discovered on Foscam Opticam i5 devices with System Firmware 1.5.2.11 and Application Firmware 2.21.1.128. The ONVIF devicemgmt SetDNS method allows remote attackers to conduct stackbased buffer overflow attacks via the IPv4Address field. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Certain NETGEAR devices are affected by incorrectConfiguration of security settings. This affects D3600 before 1.0.0.76 and D6000 before 1.0.0.76. ,Improper Input Validation
In Advantech WebAccess versions V8.2_20170817 and prior WebAccess versions V8.3.0 and prior WebAccess Dashboard versions V.2.0.15 and prior WebAccess Scada Node versions prior to 8.3.1 and WebAccess NMS 2.0.3 and prior a TFTP application has unrestricted file uploads to the web application without authorization which may allow an attacker to execute arbitrary code. ,Incorrect Resource Transfer Between Spheres
flu.cgi in the web interface on SysLINK SL1000 MachinetoMachine (M2M) Modular Gateway devices with firmware before 01A.8 allows remote authenticated users to execute arbitrary commands via the 5066 (aka dnsmasq) parameter. ,Improper Neutralization of Special Elements
An issue was discovered in Roche AccuChek Inform II Instrument before 03.06.00 (Serial number below 14000) and 04.x before 04.03.00 (Serial Number above 14000) CoaguChek Pro II before 04.03.00 CoaguChek XS Plus before 03.01.06 CoaguChek XS Pro before 03.01.06 cobas h 232 before 03.01.03 (Serial number below KQ0400000 or KS0400000) and cobas h 232 before 04.00.04 (Serial number above KQ0400000 or KS0400000). A vulnerability in the software update mechanism allows authenticated attackers in the adjacent network to overwrite arbitrary files on the system through a crafted update package. ,Incorrect Resource Transfer Between Spheres
NETGEAR WiFi Router Telecomm NETGEAR R9000 X10R9000 Linux,Insufficient Verification of Data Authenticity
Baxter Infusion System System Medical NA Spectrum IS Unknown,Missing Encryption of Sensitive Data
blocking_request.cgi on ASUS GTAC5300 devices through 3.0.0.4.384_32738 allows remote attackers to cause a denial of service (NULL pointer dereference and device crash) via a request that lacks a timestap parameter. ,Improper Check for Unusual or Exceptional Conditions
Vulnerability in the Java SE Java SE Embedded component of Oracle Java SE (subcomponent: RMI). Supported versions that are affected are Java SE: 6u151 7u141 and 8u131; Java SE Embedded: 8u131. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise Java SE Java SE Embedded. While the vulnerability is in Java SE Java SE Embedded attacks may significantly impact additional products. Successful attacks of this vulnerability can result in takeover of Java SE Java SE Embedded. Note: This vulnerability can only be exploited by supplying data to APIs in the specified Component without using Untrusted Java Web Start applications or Untrusted Java applets such as through a web service. CVSS 3.0 Base Score 9.0 (Confidentiality Integrity and Availability impacts). CVSS Vector: (CVSS:3.0 AV:N AC:H PR:N UI:N S:C C:H I:H A:H). ,Improper Authorization
WPLSoft in Delta Electronics versions 2.45.0 and prior utilizes a fixed length stack buffer where a value larger than the buffer can be read from a file into the buffer causing the buffer to be overwritten which may allow remote code execution or cause the application to crash. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Philips SureSigns VS4 A.07.107 and prior. The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor. ,Incorrect Authorization
DLink WiFi Router Telecomm DLink DIR823G DIR823G Unknown,Exposure of Sensitive Information to an Unauthorized Actor
Dahua Smart Camera Smart Home NA IPCHFW2421R Unknown,Incorrect Permission Assignment for Critical Resource
Foscam WiFi Camera Smart Home Foscam C2 C2 Linux Linux Debian10+deb10u2 Debian10 deb10u2 ,Improper Access Control
An issue was discovered on DLink DIR825 Rev.B 2.10 devices. They allow remote attackers to execute arbitrary commands via the wps_sta_enrollee_pin parameter in a set_sta_enrollee_pin.cgi POST request. TRENDnet TEW632BRP 1.010B32 is also affected. ,Improper Neutralization of Special Elements
A vulnerability was discovered in Siemens OZW672 (all versions) and OZW772 (all versions) that could allow an attacker with access to port 21 tcp to access or alter historical measurement data stored on the device. ,Exposure of Resource to Wrong Sphere
Samsung Smart Hub Smart Home SmartThings Groovy IDE STHETH250 Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
The vulnerability exists within processing of xmlserver.php in Schneider Electric U.motion Builder software versions prior to v1.3.4. The underlying SQLite database query is subject to SQL injection on the id input parameter. ,Improper Neutralization of Special Elements
AirTies WiFi Router Telecomm NA Air 5021 Unknown,Improper Neutralization of Special Elements
The Conexus telemetry protocol utilized within Medtronic MyCareLink Monitor versions 24950 and 24952 CareLink Monitor version 2490C CareLink 2090 Programmer Amplia CRTD Claria CRTD Compia CRTD Concerto CRTD Concerto II CRTD Consulta CRTD Evera ICD Maximo II CRTD and ICD Mirro ICD Nayamed ND ICD Primo ICD Protecta ICD and CRTD Secura ICD Virtuoso ICD Virtuoso II ICD Visia AF ICD and Viva CRTD does not implement encryption. An attacker with adjacent shortrange access to a target product can listen to communications including the transmission of sensitive data. ,Cryptographic Issues
DLink WiFi Router Telecomm DIR809 DIR809 Linux Linux ,Improper Access Control
In WebAccess SCADA Versions 8.3.5 and prior multiple heapbased buffer overflow vulnerabilities are caused by a lack of proper validation of the length of usersupplied data. Exploitation of these vulnerabilities may allow remote code execution. Note: A different vulnerability than CVE201910991. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
LCDS Laquis SCADA prior to version 4.1.0.4150 allows taking in user input without proper sanitation which may allow an attacker to execute remote code on the server. ,Improper Neutralization of Special Elements
SA WebSTAR DPC2100 v2.0.2r1256060303 devices allow remote attackers to discover credentials via iso.3.6.1.4.1.4491.2.4.1.1.6.1.1.0 and iso.3.6.1.4.1.4491.2.4.1.1.6.1.2.0 SNMP requests. ,Insufficiently Protected Credentials
NETGEAR Ethernet Switch Telecomm Netgear Nighthawk S8000 Gs808e GS808E Linux,Exposure of Sensitive Information to an Unauthorized Actor
An issue was discovered on the DLink DWR932B router. A secure_mode=no line exists invar miniupnpd.conf. ,Security Features like authentication; access control; confidentiality; cryptography; and privilege management
